suburb,address,rooms,type,price,method,sellerg,date,distance,postcode,bedrooms,bathrooms,car,landsize,buildingarea,build_year,councilarea,latitude,longitude,regionname,propertycount
Abbotsford,25 Bloomburg St,0.3333333333333332,h,0.4411908247925813,S,Biggin,4/02/2016,0.088235294117647,0.3170731707317075,0.3333333333333333,0.0,0.0,0.126315789473684,0.3198380566801615,0.2547770700636934,Yarra,0.4991885126399493,0.5173369188770461,Northern Metropolitan,0.2395565234607007
Abbotsford,5 Charles St,0.6666666666666667,h,0.6510492923377255,SP,Biggin,4/03/2017,0.088235294117647,0.3170731707317075,0.6666666666666667,0.4999999999999998,0.0,0.1085020242914975,0.6072874493927118,0.2547770700636934,Yarra,0.4953373861854487,0.5193741596381913,Northern Metropolitan,0.2395565234607007
Abbotsford,55a Park St,1.0,h,0.7169350902879451,VB,Nelson,4/06/2016,0.088235294117647,0.3170731707317075,0.6666666666666667,0.0,0.6666666666666667,0.0971659919028329,0.5748987854251003,0.9808917197452212,Yarra,0.5011140758671787,0.5187629874098421,Northern Metropolitan,0.2395565234607007
Abbotsford,124 Yarra St,0.6666666666666667,h,0.8516349438750608,S,Nelson,7/05/2016,0.088235294117647,0.3170731707317075,1.0,0.4999999999999998,0.0,0.1983805668016191,0.8502024291497969,0.3184713375796177,Yarra,0.5143179379968631,0.5293566393675913,Northern Metropolitan,0.2395565234607007
Abbotsford,98 Charles St,0.3333333333333332,h,0.7345046364080038,S,Nelson,8/10/2016,0.088235294117647,0.3170731707317075,0.3333333333333333,0.0,0.6666666666666667,0.2072874493927124,0.4331983805668012,0.19108280254777,Yarra,0.5044150413996137,0.5214114003992224,Northern Metropolitan,0.2395565234607007
Abbotsford,10 Valiant St,0.3333333333333332,h,0.4714494875549043,S,Biggin,8/10/2016,0.088235294117647,0.3170731707317075,0.6666666666666667,0.0,0.6666666666666667,0.1781376518218613,0.3036437246963559,0.2547770700636934,Yarra,0.5181690644513358,0.5285417430631445,Northern Metropolitan,0.2395565234607007
Abbotsford,40 Nicholson St,0.6666666666666667,h,0.594924353343094,VB,Nelson,12/11/2016,0.088235294117647,0.3170731707317075,0.6666666666666667,0.4999999999999998,0.6666666666666667,0.1732793522267184,0.7692307692307685,0.9235668789808908,Yarra,0.4975380298737248,0.5234486411603676,Northern Metropolitan,0.2395565234607007
Abbotsford,123/56 Nicholson St,0.3333333333333332,u,0.3020985846754511,S,Biggin,12/11/2016,0.088235294117647,0.3170731707317075,0.3333333333333333,0.4999999999999998,0.3333333333333333,0.0,0.3805668016194321,0.9490445859872612,Yarra,0.499463593100982,0.523652365236465,Northern Metropolitan,0.2395565234607007
Abbotsford,16 William St,0.3333333333333332,h,0.5754026354319178,S,Jellis,15/10/2016,0.088235294117647,0.3170731707317075,0.3333333333333333,0.0,0.6666666666666667,0.1927125506072868,0.392712550607287,0.19108280254777,Yarra,0.496162627568561,0.5258933300737074,Northern Metropolitan,0.2395565234607007
Abbotsford,42 Henry St,0.6666666666666667,h,0.5217179111761833,S,Jellis,16/07/2016,0.088235294117647,0.3170731707317075,0.6666666666666667,0.4999999999999998,0.3333333333333333,0.0914979757085005,0.4453441295546548,0.1273885350318457,Yarra,0.5055153632437448,0.5165220225725996,Northern Metropolitan,0.2395565234607007
